id,upvotes,edited,uncle joke,archived,comments,hash
1,33095,False,True,False,487,05833d8c850038cff878058eaa3e08b3ad76bdc8954dc650fd54e1672e5ffb87efcb5a5f52ada405bb745652a04f426dd934edb13c12c097ab7bc46789306b73
2,25672,1483247780.0,False,True,204,132e1d0c548f20a7c59a3d983c25b96be1d980ef64732729bda5a61e6da4f3eb4f4177c8207910bbe6f0458b7668e7d43f801e9d871c594569bb6c487e1f8b7a
3,23153,False,False,True,353,16032c492915dda2f861ca14c99583cefa38fa8e6a0037a675924e4fc86c25acf42aabda6e7bad65fcc501f3fbc60b3296ce51207489abd40fc7f97599222a3a
4,23060,False,False,True,208,42d4b3ae885e2cc0e500cac4f3893ea797f1a80e58ef3e848f240562c18f66ec75576cf428f44ff18c02349e4fb40a0f06ef5b1f4f8dc9afdfa30e925886082b
5,20330,False,False,False,179,5c2a798dbabd240a95b2b1889785b7f1bd8552d10f94f73fb901ebb966d77a32684d14460745bdef3853413c160ea62f13b3f30dbf7d1f3676279b5e84cd49ba
6,17410,False,False,True,351,4bbb466953b5a3f2f0915ba5941cb47a35e8beb5a47b7ed3626a11b05d3a9ea2186fd551aeefa1d23fcaa3237aca664ea6f1d2116ad0ad928189d6fdc6b47bfd
7,16953,False,False,False,170,47ff80af88aa6c25547732bcf24bf28c4b918f42c4723ab5f41d8af8cb2cb6b4419f610624ec9d55602dfdf5a1ba3d057eaa148bdec30b0e54b690de95eeb305
8,16252,False,False,True,223,4b9a370eaccfa5ec03ec7da3b3009f4361a425a3aa746638623992c860915c42439301131a9ec3a84374ba8083b9bfdaed1bcea82406b1c813f6a34b8e0b7fda
9,15694,False,False,True,91,ecbfe4dbea757312f5d8674bfd41a5be1e41e9dce9f1b641893e37181cb232979e9d7831332573b34544ea03d32fb9353bc4aa7be64cdc1c93defd0a8ce9cd3a
10,14804,False,False,False,125,053e4478062420262ab056f45a5b46f1c1f7f5da348aabccc8fe9ce3f8800cfe59a690d6520e8fe7b7c61cfb1aba2095d37c2483d597f209557ad18b4efdb1dd
11,14691,False,False,True,251,abc81df16eb7e037dcc07e7b021656636b00556699094e2064aadcbaeec4ed014ed1d94a32cf9c6a0722124152754bb9742b9ad6128d2701d6a9095dda8f7a5d
12,13950,False,False,True,178,ccf6f2c5debfdd1d3a5f4670a79db2c6286af3da7488c1b64b0823d6ce7cf784f5fdd8f71b4617c14a3b0cd0fdf255520243ad42241159eaedaa8a3313b51da9
13,13845,False,False,True,125,e1cd6d223895c27194fe2304839011c1c0de1cee83a452aa027faffdd5e5cbc2e9005f1c3accd6e1c25b55a69f22f6022785ccd1c6181a33f6b139b9aa109017
14,13196,False,False,True,492,4d1e760f31f66559c03a116d49e2d48d57ecbf9ce99a86d2bdfd92b3cae97c4158a8cd6b3daa8094a74f0e30e7b3de7924b48765df4d52e34409acdb2606b813
15,13104,False,False,True,220,45359982f5b89766506d43d0c145c5194ad434bff386b456b590a53405b7134835b3c12b9144eac9080dbd4b1499b02d0dcbf070b8ab06266315ceb88d715832
16,12845,False,False,True,176,612b499a4050ad859f077d18789bf505a722f202a9f2fea551424d7e8b38c081c2312890d51e8a4d6d3da6446d4abef681d80448a3617cb24c96dc3b146f2a5d
17,12533,False,False,False,184,376660a61247959b501f161d06c62b1054c1d8b6d16749fb82200f10c4ab9cf137fe4518fd3ea76c5832fab96c2d567cdfca2729289b1c2c6680da36c53d43d4
18,11373,False,False,False,174,fd5f05dc98cb988f8a0cfd31aee3f516189e0019308288ae79b299db679ccf8f84ed99e30af232cc3a0f73409c4555b1385640a73dbe90ee936d69ea5d767b7d
19,10927,False,False,False,112,441d3b435dc0467bfcd68a9c89cf4aa217dd3ae793257718c9bbecc75caddb8d839ce070bd2892b014181d8b35d04ddf41f4732a83cf3451f8d73901b6827b82
20,10834,False,False,False,168,87e62678cdfcc1e72ed28aa87e0361f32e443ead1192c16b6f3cc79bc046ec550d4e501f3128ec72cc395765dcf47d95fd6d48294253e3b10a66220d5048e026
21,10703,False,False,True,68,eff573cf4df34e1a171d314b0e469c6520bbf1543e626521ff8bd57800df395abd333f6d4d664899e4080be6682bdad82cfc4031919b008cf68560c26b8b089c
22,10678,False,False,True,69,f6ff8ba7d45ff026c9f3597baf066734171ac0d4fa148a416b3195a77f586c1212b45c4adbef902401211f9d93f2f98f0410b735d6b8ca97b27dde64cfa7eb29
23,9906,False,False,True,200,6819cff280ebc08fb78ca81362ad1ed9d02739219d3926cc49c5c06015aa45f99432450b4da16907d1e1532d36bab6360cc23c55b5d8eb5171a588c37103f218
24,9704,False,False,False,120,c15fddbe96804819ba27577204fed903713b0b18e2b2cd147ac2952742444c9bb416cc8db2fc6c3adc3c126c05c3095586c1a177204ead5c373384966b70c537
25,9695,False,False,True,289,177a1a61eee83f201a4c06c22d89260b1ebb79b8ee1ccb88d485640ca227b3abd41bc69cd14eb0bbf5e107a90a06fa441396360eff541b8b0786eacc5304951d
26,9638,False,False,True,191,59f391b920c8d7f699c51e5507c448f48cb337dd8dd11bf8b0cea09cce7d131229a79fdbb141112a866cb463f164531b37f2d0b0f803d0ccd84296c62541ed4e
27,9499,False,False,False,113,a50bca81049795def3e1db5332b7a1a97df7b6b46c4e278231aed9bb26ea033049c32bb17d546deb5fe06a8311b91d55510d164834c8634d663cc9e1d1ecfc38
28,9410,False,False,False,258,46ae2cc4fdc0a8d42d64e4bfea3530e036d7db303d72f5a0c88e00399ad8f8b9834c82314ee0237649fedc78ec2b08f2865e020266b26e7dffb33caccbb5f89c
29,9336,False,False,False,245,0b18c9f94d5b3cdd1ab1bd555219a525bdd0d025d43ffab0512ca66744c712c311050f7e50dbd57eba9c8f9ac7227be0c83165121b0e0d327aaddc393bc646e9
30,9277,False,False,True,98,edcff6bfde67eb16ae7cda2fdf407e882cd22d612fcf8b556b830cebe76065e2c7741997d097a99a98715e284c74a2251fa1958373611f22916db2e5f7357d3c
31,9249,False,False,False,91,a2a1a051a520de3840368cc61b4f5cc6208854de19dffc7e40ce71299f801cf4aeb42b301060a0ff6e00a64fdffaa456f032913162111f82112b574c9c454639
32,9148,False,False,True,193,0fbbd6cc83ed37a981aad7fff0b75781e9d21c8cfbaea6825611b42f341f996ea022f9bfa58081a720cb99176323c12cbdf95b6bda8d7670c073e15d9cdeba47
33,9077,False,False,True,243,2eb378ce0f02fb57e6d5b996a076f9ce35c573e82f29acde53c09cfef3ce8e283e82717e420503c67e926b0dd4e6a6ccccbf740b6210d33d1aa276c4e35363e8
34,9014,False,False,False,83,95b66b6b1b24163e4ea45772bd3641ed8101b827a8b76d6ad4743d73b2054ec5a53b93b67348636c1763d9f94410cf18f0f83833e15c181d36f4e58d5f60030a
35,8969,False,False,True,97,9b5852fdbfd3a3a7090eae72ae13bbd2844bd0ed2010f4abe99d5aa2039f01a389b7a96810f1ad9aea693613352b795598d94095fb121de8c16a3f4624e0630c
36,8940,False,False,False,118,3cb789101d0b27eff7b241f1c47075e34325ffe17aa7ca827965d6de2c63c45e04c8fd9dcc0e912b33e0c1e0c07d2fcaa7cd5238116fda94588976c0664056fb
37,8653,False,False,True,162,200018fd381e64a951048e4401c67dbe741ec191a9029ce8cba6e7444379a2340b6178a25d18ea532866e6f3786c8cb2a9a328a05db03b3cca547918fba38400
38,8578,False,False,False,68,5af52a502c8eef79e6e2e5609701eec58aca1d334c56401e4da751370acee0ca9571bfc671d74521a1202b83247a39a53d1c1ec0363f73f8e54e0772667d7759
39,8529,False,False,False,125,648f9758ac049a67244de7b5e065fc9ee817d98d393f9133fbc378dbad748bd84ddc67ababd486013bde0242728401919183176e174e942d23ede7d9d50f4a02
40,8486,False,False,True,156,5401a99d2b484c439f15fd30d85376f3ba3b7618c31e118c2e66aaa14368413be259aae984f21b881eaa103ca8cfd926c86dcbc4bf9ee13124e75504124563a1
41,8201,False,False,False,65,232d82d3e23465bc324d7a4afcbff11d078e0e8c8241f80d0de82c7395dfded1ca4b7a2f2cd87ce1273599742c37997e8c0bf1c42f2a0ac58b2bc2cfc968a3cf
42,8148,False,False,False,63,9ec9481a6d49e65c99d5ac54c4dcf90cde31fca0cf5b750af9c11d3d348f4642bcaad2ea17ac25adba7a3e326c16a7d4af4cfdbaab3f8ed06f68bebd304806fd
43,8144,False,False,False,164,d84bbfb13e6aceac51c1ded62c2dee4dd361bd2488c4bd8a8fd53d8bd56a582f9ff76dacc1aefaa3e587514df74a69e60ccd7900fffbeaa0c7e85fdafb8e24e3
44,8138,1418421816.0,False,True,214,9458437beb472ba46503470a2e5e2102b8b452f5f5e9df824810866c48def2aa517a5b1b439daa719bd33bdb708d6d4f9956b12e9009a1fae4decc8267ecf24f
45,8135,False,False,True,115,d01e71389156eb12e9b1e0f0ae74638dc8d38aadfd5c9c4445822ecf6d000d13dec4b5b3e2c658662b6f51db46da68fe2ada9652fb732d619c58e513cc0ddd83
46,8112,False,False,True,111,0fb347fd8ac390198361b782f18e42edc800ac9012a7a581978139e27c2bebe4a69377fbeb8906dc0d53e0fbdfec7cf79c5f4204e18dc4809e5c1a1f644a11f7
47,8082,False,False,True,120,799a7604d25e9bdf2736039740b980b5d1a6769fc67bda35d1221b4886f821ced01910636fe31c20f773bf27900046f855e8ae1ee96fefacb72468f3f590caee
48,8076,False,False,True,135,d8b7e1681a773a7f3909807590dd92f3030d473d8aab0959033beb02c11c659013fd7b23171f0336b668fceccb5429feb631754c017428446f210773c4d769ac
49,8058,False,False,False,105,443785ec8e453157bdfcecb40e54b9179e049ec88bde9e53778d65ced677eff142a42dd185d8faf2f2ee939286b85e31c173fef819358265aac1ce62d8c48d43
50,7911,False,False,True,58,4b146f2c5e75c6b07f9c5ab9507d244d71394d6ec4a30e5445ee3612cdc1ea99a454047e2575f2ac2e64530cb2bbefa8c8b9ff22e07b2f75ee8df79807c2b819
51,7879,False,False,True,416,44adc1274941d3ef647eb2303baf84877943bb4d9ed69157ca84865fee5529f48a3cde19f9aaf9b519f134f62ff09a2c5e50a9f62799fb9917e4d40603cb3a2e
52,7859,1414017844.0,False,True,348,2e64dccda59ee7a92d67de271a9d74bc4443fa0ba61c63f57d94fd0b970032560813093068525d4221cc1a9a598a19f1891fb472f76cca511baaf0adef4c4d0d
53,7801,False,False,False,75,aea43ae40782f74706d1e36d42336834f3cd214eda384f4c7afc030c71bbe64d512fb33e67facf964dfafdaf034170679334e3cc451f9c770cf87387442fba06
54,7791,False,True,False,138,362697114b612f57ca1422812bee6c2696c283683dbb5e14497e95b5952fd248afa946ab07d1645007bfa1d13467edabff34b088f44b617a7068f98406f6cca2
55,7764,1504978180.0,False,False,107,2b3e0057962cf534a1a746d0f03c1feaf43d85396fe3ac3d99a69bf074d3bdef13b7c7d12a49805d078313234cf8241dc4bfd323dc1be94524562315ecced2be
56,7688,False,False,False,78,64d3f29164e3ff7e968d8e50412e642b8bc874fe5374e3a7e58c29fe1a43efc7a2560355c9302c1f97c7cc7b91b3cec4f78bebc32fc447beee742ad473552a39
57,7638,False,False,True,47,c241b82428222d796fc8035a7cb43ec86ff48425425abb640a36e2eaa7583ccd3dc725dba2f7c37295b3bb91419e165bbf0c1b74f1f302ae5ce1b8775e59805d
58,7615,False,False,False,139,a1765215580fb1bcb4e664ff33560164e5912f270e405826dff03ae051b1bfef3c7a10112589d3bb0bc3ed8119e08a2d3803510b9f8234830b0c0ab83a59395a
59,7582,False,False,False,109,7d947560ad1c319c3f6d8460b234efdae4566fcb99df0d9a63b9aa8624b4a57b2182ceb1add5347b402623cf484cf4d9ac63dfa189f5e559e0d165f234c8b212
60,7504,1499260136.0,False,False,131,501c2a2b797c910c5789321a4078ebe697174b75bfe61f0acd7cb5658c90febfd8d1a9a4ffbb82f9973d23f4b2a0ffc6e6b931ee4bd1122df83ee5c6dbb3d401
61,7481,False,False,False,109,b57c8bc8da025188ab044b544d3b12a6fca3ff14d01bc81caa193d259344498ed3780c826b0fa2c91b17afe982c631cbb9e41db0943327becc8cb75e978293ec
62,7337,False,False,True,142,853e8c01a7cfeba774c3b820d1ae1e0bdfccd1597d0e94a6fce347d51a9b3bc7a1e455168b5da6236cc0240705dc75e6389924834ca83974a8b199edd03a8b05
63,7315,False,False,True,132,5a4c16c21cb48ae5f8a7f944217b48b87bc37831eb9d9b02e9cb99c6391d95de444550d9e1e330be233b7d0367d41586823d015e668f5be0a151779973cebf8b
64,7210,False,False,True,72,bb5758d8073b90eb824bbe0a3b30fabd6dc914421c662af1aeb391af4373258e1a09f3e112072712efc4ca78cc9987f120a5211daf4710bac5785e18d55bf49c
65,7175,False,False,False,63,c976b6522d616316fc39ead80dbd8b08254ba2796bae4f0e1bce1d654d1a28086e79881bf6f8bcfff52e68895efe515098c77d2f151bf1b796b099936a7c8a9c
66,7175,False,False,False,115,d89090fbfe59b1536e28ce64d4c45cb86e4e4cb845c1043c881bf2eb3dbeec7d090774dd02748941d256e5a856570a0b97827ddf22ca8b64355fc5d440b1639a
