id,upvotes,edited,uncle joke,archived,comments,hash
1,33244,False,True,False,483,63d344198fe35ca9acc809f000e9b85b7240e3aa89a972b962cb61c83488409dd60e62f8d73cefec2386e4c82a329cf8a4be50ac97edd2661984c7e238980d14
2,25666,1483247780.0,False,True,204,b031d6617dd556e1b0c869de63188e6eae891c1172044171cb4f99d790570b2bcc97068d507795fe0a24c6922a21b024e17a49dd6f78e4f9ed2048db6a656e5e
3,23158,False,False,True,353,44b3636f1538fbc6a0b4a13cc837a86c7b95ffd1450f5f9e63d16f7d03517ee7d7d16386dea7fc8c9ec5f401541071097acc8ec4b1dbd999c00475f5c5ccfb15
4,23058,False,False,True,208,75853d3200cbd2f27446ae83916bcd0281c280fda068a87d63c8160b877d3a408b5aaa482d29acedb27e873c6b9d04e7a8f1a1018ea5b9e6225333945e1412c7
5,21417,False,False,False,655,e56a2a331fb2c15ade5fdb6d3c766e811f5df1f729a241da3651546d8ba29fe34457fe4245b712e3b96cbdc64cd2b6e244b9397fa0263219454db22c7539e2c5
6,20404,False,False,False,179,60ae3be3a11a0019ffa3284b6b003ad7bedf3985d96e957df6701e4c6c41c8d2eb513f639f072527e596b863dfd3e8f2455e34466a8ec7972088dd87540ea74f
7,17405,False,False,True,351,91738578549f36411fe709a042d4b7714c01e35d751b90e5aea15f4166588fc6524c6d9f0b0cc16c577b45984b78033378133878431ab94b60f5d48ee0f05ed5
8,16972,False,False,True,170,8bb6e075c189ceb1d3c4b6fb8f84e68f5eab4061881c30437b0c47b3f8bf447fc77d2cf018cc097424f1f0ba2912832814462bd166ddb9c9ac487ebf62f9c1db
9,16249,False,False,True,223,5f066f9e80812881ce643b6400b45e3549018a440fe42070640a76201a6555bdc6b5bc6e919a957df950ed1deb30ab470d132d1472174fc7740034133cdcc65d
10,15695,False,False,True,91,3a8b051023d9402aa08393144a18f69bccc34bc39d433b504452b8c5e4efdad4ae4e14ad3599e810c9fbcdff9c770dacb7e8f641936e31d16a6e56540028ddfb
11,14885,False,False,False,126,826fbcc38b2eeda54fd43f83b60cedea7ffc2f4957c9bc6a50f02bdb6a8a198ee016a67feb7b29fbc6c359d54a2a2b61ac2d6419468a9f113e1e59c65a7bd504
12,14694,False,False,True,251,747ee10da12101eb767fe2a676f37aebe9b92fa2603466f45a4647fb59352229e92cabd9928b6360b6b2994667b6d14ecada19d4c0311dc4d3631b6eafb1e3d2
